"DT_NOTIFIC_epiyearweek","UF","epiyear","epiweek","SRAG","Tipo","Situation","mean","50%","2.5%","97.5%","L0","L1","L2","L3","Run date"
"2009W03","RegN",2009,3,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W03","RegS",2009,3,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","11",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","12",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","13",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","14",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","15",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","16",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","17",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","21",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","22",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","23",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","24",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","25",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","26",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","27",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","28",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","29",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","31",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","32",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","33",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","35",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","41",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","42",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","43",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","50",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W04","51",2009,4,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
