UF,epiyear,epiweek,SRAG,Tipo,Situation,mean,50%,2.5%,97.5%,L0,L1,L2,L3,Run date,base_epiyearweek,base_epiyear,base_epiweek,dado,escala
13,2017,14,0.0984345461945943,Estado,estimated,0.0984345461945943,0.0984345461945943,0.0984345461945943,0.147651819291891,0.0,0.992,0.008,0.0,2017-10-11,2017W23,2017,23,srag,incidência
13,2017,15,0.27069500203513397,Estado,estimated,0.295303638583783,0.295303638583783,0.27069500203513397,0.369129548229728,0.0,0.0,0.0,1.0,2017-10-11,2017W23,2017,23,srag,incidência
13,2017,16,0.910519552299997,Estado,estimated,1.00895409849459,0.984345461945943,0.910519552299997,1.20582319088378,0.0,0.0,0.0,1.0,2017-10-11,2017W23,2017,23,srag,incidência
13,2017,17,1.20582319088378,Estado,estimated,1.37808364672432,1.3534750101756698,1.20582319088378,1.79643046805135,0.0,0.0,0.0,1.0,2017-10-11,2017W23,2017,23,srag,incidência
13,2017,18,1.2796491005297301,Estado,estimated,1.5011268294675602,1.4765181929189097,1.23043182743243,1.99329956044053,0.0,0.0,0.0,1.0,2017-10-11,2017W23,2017,23,srag,incidência
13,2017,19,0.68904182336216,Estado,estimated,0.959736825397294,0.910519552299997,0.7136504599108081,1.42730091982162,0.0,0.0,0.0,1.0,2017-10-11,2017W23,2017,23,srag,incidência
13,2017,20,0.787476369556754,Estado,estimated,1.0827800081405399,1.0335627350432401,0.787476369556754,1.6733872853081,0.0,0.0,0.0,1.0,2017-10-11,2017W23,2017,23,srag,incidência
13,2017,21,0.41834682132702594,Estado,estimated,0.8613022792027,0.762867733008106,0.442955457875674,1.7226045584054,0.0,0.0,0.0,1.0,2017-10-11,2017W23,2017,23,srag,incidência
13,2017,22,0.7136504599108081,Estado,estimated,1.3042577370783701,1.15660591778648,0.5413900040702679,3.0514709320324203,0.0,0.0,0.0,1.0,2017-10-11,2017W23,2017,23,srag,incidência
13,2017,23,0.41834682132702594,Estado,estimated,1.42730091982162,1.1812145543351298,0.34452091168108,3.88816457468647,0.0,0.0,0.008,0.992,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,7,0.0,Estado,estimated,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,8,0.0,Estado,estimated,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,9,0.0,Estado,estimated,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,10,0.0,Estado,estimated,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,11,0.0,Estado,estimated,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,12,0.0,Estado,estimated,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,13,0.0,Estado,estimated,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,14,0.0,Estado,estimated,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,15,0.0,Estado,estimated,0.0,0.0,0.0,0.191337757062277,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,16,0.0,Estado,estimated,0.0,0.0,0.0,0.191337757062277,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,17,0.0,Estado,estimated,0.0,0.0,0.0,0.191337757062277,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,18,0.0,Estado,estimated,0.0,0.0,0.0,0.191337757062277,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,19,0.0,Estado,estimated,0.0,0.0,0.0,0.191337757062277,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,20,0.0,Estado,estimated,0.0,0.0,0.0,0.191337757062277,0.988,0.008,0.004,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,21,0.0,Estado,estimated,0.0,0.0,0.0,0.191337757062277,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,22,0.0,Estado,estimated,0.0,0.0,0.0,0.382675514124553,0.9840000000000001,0.008,0.0,0.008,2017-10-11,2017W23,2017,23,srag,incidência
14,2017,23,0.0,Estado,estimated,0.0,0.0,0.0,0.191337757062277,0.9840000000000001,0.004,0.004,0.008,2017-10-11,2017W23,2017,23,srag,incidência
15,2017,14,0.28685391534080396,Estado,estimated,0.27490166886827005,0.262949422395737,0.262949422395737,0.31075840828587104,0.0,1.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
15,2017,15,0.262949422395737,Estado,estimated,0.27490166886827005,0.262949422395737,0.25099717592320303,0.334662901230938,0.0,1.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
15,2017,16,0.20318819003306895,Estado,estimated,0.23904492945067,0.227092682978136,0.20318819003306895,0.31075840828587104,0.0,1.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
15,2017,17,0.19123594356053603,Estado,estimated,0.20318819003306895,0.20318819003306895,0.167331450615469,0.28685391534080396,0.0,1.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
15,2017,18,0.31075840828587104,Estado,estimated,0.28685391534080396,0.27490166886827005,0.23904492945067,0.38247188712107205,0.0,1.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
15,2017,19,0.17928369708800196,Estado,estimated,0.167331450615469,0.167331450615469,0.119522464725335,0.25099717592320303,0.0,1.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
15,2017,20,0.262949422395737,Estado,estimated,0.167331450615469,0.167331450615469,0.119522464725335,0.27490166886827005,0.0,1.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
15,2017,21,0.20318819003306895,Estado,estimated,0.119522464725335,0.107570218252801,0.07171347883520099,0.25099717592320303,0.24,0.76,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
15,2017,22,0.262949422395737,Estado,estimated,0.119522464725335,0.09561797178026801,0.0358567394176005,0.37051964064853793,0.428,0.5720000000000001,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
15,2017,23,0.167331450615469,Estado,estimated,0.19123594356053603,0.155379204142935,0.047808985890134006,0.5019943518464071,0.184,0.7759999999999999,0.04,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,4,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,5,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,6,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,7,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,8,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,9,0.125356953926305,Estado,unknown,0.125356953926305,0.125356953926305,0.125356953926305,0.125356953926305,0.0,1.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,10,0.125356953926305,Estado,unknown,0.125356953926305,0.125356953926305,0.125356953926305,0.125356953926305,0.0,1.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,11,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,12,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,13,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,14,0.125356953926305,Estado,unknown,0.125356953926305,0.125356953926305,0.125356953926305,0.125356953926305,0.0,1.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,15,0.125356953926305,Estado,unknown,0.125356953926305,0.125356953926305,0.125356953926305,0.125356953926305,0.0,1.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,16,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,17,0.25071390785261,Estado,unknown,0.25071390785261,0.25071390785261,0.25071390785261,0.25071390785261,0.0,1.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,18,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,19,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,20,0.125356953926305,Estado,unknown,0.125356953926305,0.125356953926305,0.125356953926305,0.125356953926305,0.0,1.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,21,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,22,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
16,2017,23,0.0,Estado,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
17,2017,6,0.0645080551208429,Estado,estimated,0.0645080551208429,0.0645080551208429,0.0645080551208429,0.129016110241686,0.992,0.008,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
17,2017,7,0.193524165362529,Estado,estimated,0.193524165362529,0.193524165362529,0.193524165362529,0.258032220483372,0.0,0.856,0.124,0.02,2017-10-11,2017W23,2017,23,srag,incidência
17,2017,8,0.258032220483372,Estado,estimated,0.258032220483372,0.258032220483372,0.258032220483372,0.32254027560421505,0.0,0.0,0.8440000000000001,0.156,2017-10-11,2017W23,2017,23,srag,incidência
17,2017,9,0.387048330725058,Estado,estimated,0.387048330725058,0.387048330725058,0.387048330725058,0.451556385845901,0.0,0.0,0.0,1.0,2017-10-11,2017W23,2017,23,srag,incidência
17,2017,10,0.0,Estado,estimated,0.0,0.0,0.0,0.0645080551208429,0.996,0.0,0.004,0.0,2017-10-11,2017W23,2017,23,srag,incidência
17,2017,11,0.129016110241686,Estado,estimated,0.129016110241686,0.129016110241686,0.129016110241686,0.193524165362529,0.848,0.136,0.016,0.0,2017-10-11,2017W23,2017,23,srag,incidência
17,2017,12,0.129016110241686,Estado,estimated,0.129016110241686,0.129016110241686,0.129016110241686,0.193524165362529,0.8240000000000001,0.16399999999999998,0.012,0.0,2017-10-11,2017W23,2017,23,srag,incidência
17,2017,13,0.0645080551208429,Estado,estimated,0.0645080551208429,0.0645080551208429,0.0645080551208429,0.129016110241686,0.992,0.008,0.0,0.0,2017-10-11,2017W23,2017,23,srag,incidência
17,2017,14,0.129016110241686,Estado,estimated,0.129016110241686,0.129016110241686,0.129016110241686,0.193524165362529,0.8240000000000001,0.152,0.024,0.0,2017-10-11,2017W23,2017,23,srag,incidência
