UF,População,isoweek,corredor baixo,corredor mediano,corredor alto
Rondônia,1768204,1,0.0,0.0,0.0
Rondônia,1768204,2,0.0,0.0,0.0
Rondônia,1768204,3,0.0,0.1696636813399359,0.1696636813399359
Rondônia,1768204,4,0.0,0.05655456044664529,0.05655456044664529
Rondônia,1768204,5,0.0,0.05655456044664529,0.05655456044664529
Rondônia,1768204,6,0.0,0.05655456044664529,0.05655456044664529
Rondônia,1768204,7,0.028362683320661677,0.14671301824999913,0.7589094967028113
Rondônia,1768204,8,0.0,0.06289264665464578,0.06289264665464578
Rondônia,1768204,9,0.0,0.17358961332334996,0.17358961332334996
Rondônia,1768204,10,0.04010606979823583,0.08090028545316423,0.16318866992774614
Rondônia,1768204,11,0.0,0.0,0.0
Rondônia,1768204,12,0.0,0.05786320444111665,0.05786320444111665
Rondônia,1768204,13,0.041945179083571774,0.08090028545316423,0.15603357356904957
Rondônia,1768204,14,0.0,0.11310912089329059,0.11310912089329059
Rondônia,1768204,15,0.0,0.11310912089329059,0.11310912089329059
Rondônia,1768204,16,0.0,0.05786320444111665,0.05786320444111665
Rondônia,1768204,17,0.0,0.06343346305476527,0.06343346305476527
Rondônia,1768204,18,0.0345272047020229,0.09908220970287843,0.28433475470517877
Rondônia,1768204,19,0.049200960363568684,0.0743875051000807,0.11246733547729415
Rondônia,1768204,20,0.0,0.05655456044664529,0.05655456044664529
Rondônia,1768204,21,0.05374338130676773,0.05963946668842427,0.06618240051881076
Rondônia,1768204,22,0.0,0.2893160222055833,0.2893160222055833
Rondônia,1768204,23,0.03301334055478279,0.09908220970287843,0.2973732471366914
Rondônia,1768204,24,0.055936988623041126,0.057205140443859825,0.058502042633267075
Rondônia,1768204,25,0.0,0.11572640888223332,0.11572640888223332
Rondônia,1768204,26,0.0,0.05786320444111665,0.05786320444111665
Rondônia,1768204,27,0.0,0.05655456044664529,0.05655456044664529
Rondônia,1768204,28,0.0,0.0,0.0
Rondônia,1768204,29,0.04226110811536039,0.08515243655607102,0.1715747119465674
Rondônia,1768204,30,0.0,0.0,0.0
Rondônia,1768204,31,0.0,0.11572640888223332,0.11572640888223332
Rondônia,1768204,32,0.060893187590593534,0.10728534726683155,0.18902189544668654
Rondônia,1768204,33,0.04944996031008249,0.0746001172230987,0.11254159669295767
Rondônia,1768204,34,0.04805702990262595,0.0847048005802595,0.1492997643815994
Rondônia,1768204,35,0.0,0.05655456044664529,0.05655456044664529
Rondônia,1768204,36,0.0,0.06343346305476527,0.06343346305476527
Rondônia,1768204,37,0.0,0.1696636813399359,0.1696636813399359
Rondônia,1768204,38,0.0,0.0,0.0
Rondônia,1768204,39,0.0,0.0,0.0
Rondônia,1768204,40,0.06263470464323985,0.06316247602796995,0.06369469451013791
Rondônia,1768204,41,0.0,0.05655456044664529,0.05655456044664529
Rondônia,1768204,42,0.03301334055478279,0.09908220970287843,0.2973732471366914
Rondônia,1768204,43,0.0,0.0,0.0
Rondônia,1768204,44,0.0,0.05786320444111665,0.05786320444111665
Rondônia,1768204,45,0.0,0.06343346305476527,0.06343346305476527
Rondônia,1768204,46,0.0,0.05786320444111665,0.05786320444111665
Rondônia,1768204,47,0.0,0.06343346305476527,0.06343346305476527
Rondônia,1768204,48,0.0,0.0,0.0
Rondônia,1768204,49,0.0,0.0,0.0
Rondônia,1768204,50,0.0,0.05655456044664529,0.05655456044664529
Rondônia,1768204,51,0.0,0.0,0.0
Rondônia,1768204,52,0.0,0.0,0.0
Acre,803513,1,0.16056466210910195,0.24353944494868474,0.36939299386817726
Acre,803513,2,0.17148387542013294,0.2590899781952286,0.39145147983588763
