UF,População,isoweek,corredor baixo,corredor mediano,corredor alto,Unidade da Federação
AfAmN,15957510,1,0.005952681397391365,0.01426492090597633,0.03418425325819299,Região 1
AfAmN,15957510,2,0.0055029499108656494,0.014747701081569814,0.03952329036502572,Região 1
AfAmN,15957510,3,0.004675080142259794,0.018133787935791467,0.07033767441285134,Região 1
AfAmN,15957510,4,0.006782872953191147,0.01481635542687908,0.032364514218466846,Região 1
AfAmN,15957510,5,0.006217201753866063,0.02677516083395074,0.11531059567724844,Região 1
AfAmN,15957510,6,0.022939092687493084,0.04462526805658456,0.08681313495052884,Região 1
AfAmN,15957510,7,0.008068958724422594,0.025036532644701636,0.07768387325764463,Região 1
AfAmN,15957510,8,0.022626837520077128,0.05058876232918681,0.11310563713237055,Região 1
AfAmN,15957510,9,0.0270649241006605,0.04582453618874464,0.07758706838059524,Região 1
AfAmN,15957510,10,0.01195397499990284,0.03484030910182563,0.10154338940148526,Região 1
AfAmN,15957510,11,0.012320766213932377,0.04181076031330909,0.1418856301323352,Região 1
AfAmN,15957510,12,0.01164708352020775,0.032847758432715056,0.09263909133835742,Região 1
AfAmN,15957510,13,0.011582752729383281,0.03736010708580305,0.12050482593156314,Região 1
AfAmN,15957510,14,0.013034656573252418,0.04994215419485038,0.19135285625709825,Região 1
AfAmN,15957510,15,0.01390734928314721,0.05598338891444548,0.2253585331421837,Região 1
AfAmN,15957510,16,0.019140919379603685,0.046900897536638786,0.11492103101830393,Região 1
AfAmN,15957510,17,0.01643717608423347,0.04023012367717761,0.09846355862996657,Região 1
AfAmN,15957510,18,0.021754222493151752,0.05925214732614034,0.16138554084678722,Região 1
AfAmN,15957510,19,0.053795411681082754,0.09567060978340784,0.17014212346938343,Região 1
AfAmN,15957510,20,0.05312001438430145,0.09282203968476807,0.16219745327830568,Região 1
AfAmN,15957510,21,0.010421796632948548,0.03971753336273507,0.1513637726755056,Região 1
AfAmN,15957510,22,0.03844211545491313,0.09351997596389282,0.2275105259112191,Região 1
AfAmN,15957510,23,0.03306695684724187,0.07241836116573579,0.1585999902609238,Região 1
AfAmN,15957510,24,0.01938774534764235,0.04803185119761872,0.11899572065251711,Região 1
AfAmN,15957510,25,0.01009959438191898,0.03478641828453254,0.11981618778996302,Região 1
AfAmN,15957510,26,0.01682640938858508,0.029059106821859207,0.05018490099599507,Região 1
AfAmN,15957510,27,0.016097544140813404,0.02913295521096726,0.05272413430893307,Região 1
AfAmN,15957510,28,0.009975537330775355,0.023226872734550427,0.054081058407013154,Região 1
AfAmN,15957510,29,0.016914003447266124,0.03382936678535222,0.06766145346168,Região 1
AfAmN,15957510,30,0.010692864098777668,0.023410516210996483,0.05125401989612664,Região 1
AfAmN,15957510,31,0.01947788072066432,0.0252182141182623,0.03265028328466084,Região 1
AfAmN,15957510,32,0.008884943545679418,0.017189809112971483,0.0332573342555551,Região 1
AfAmN,15957510,33,0.0312706158566487,0.03994778957793556,0.05103276185792533,Região 1
AfAmN,15957510,34,0.009835203886102867,0.023226872734550416,0.054852713098230456,Região 1
AfAmN,15957510,35,0.009489787408493914,0.0178651946094243,0.03363248982236752,Região 1
AfAmN,15957510,36,0.014054498647007247,0.01902365094842535,0.02574971220937768,Região 1
AfAmN,15957510,37,0.006821102536564655,0.01553274595615179,0.03537055712695089,Região 1
AfAmN,15957510,38,0.005813883498117237,0.012852380053253664,0.028411933793782693,Região 1
AfAmN,15957510,39,0.009252921357119807,0.02262306106119569,0.055312573405238534,Região 1
AfAmN,15957510,40,0.008384565274879846,0.013451752588557467,0.02158127962172203,Região 1
AfAmN,15957510,41,0.0187685743982003,0.028867648872934363,0.04440087636762315,Região 1
AfAmN,15957510,42,0.01565938937587253,0.024347918029894073,0.03785723045522069,Região 1
AfAmN,15957510,43,0.00632212050122545,0.01022548481565948,0.016538840045047392,Região 1
AfAmN,15957510,44,0.006367847739237118,0.017485333077885513,0.048012591595229505,Região 1
AfAmN,15957510,45,0.006840228860951676,0.014454848861993348,0.030546149824875937,Região 1
AfAmN,15957510,46,0.019632727154587783,0.0252182141182623,0.032392765320222616,Região 1
AfAmN,15957510,47,0.006905902874128218,0.017972674124525034,0.04677404549034414,Região 1
AfAmN,15957510,48,0.030580112036987427,0.047992713890746545,0.07532021412521824,Região 1
AfAmN,15957510,49,0.017750610276781677,0.028211337273140995,0.044836742981166584,Região 1
AfAmN,15957510,50,0.0053894750328748135,0.017537253534682717,0.057065903388309726,Região 1
AfAmN,15957510,51,0.00555312183040544,0.011613436367275206,0.024287582440254727,Região 1
AfAmN,15957510,52,0.014817696011083568,0.027708606283963207,0.051814186336755656,Região 1
AsBSh,66931747,1,0.005718128733513483,0.015227747835600068,0.040552480531885864,Região 2
AsBSh,66931747,2,0.012203158086227578,0.02431277872705099,0.0484391995296421,Região 2
AsBSh,66931747,3,0.010265182235300206,0.022762480865277233,0.050474557905104654,Região 2
AsBSh,66931747,4,0.014988625356437054,0.022924295565158143,0.03506147593001492,Região 2
AsBSh,66931747,5,0.007029692032926407,0.015758781672170877,0.035327180568928425,Região 2
AsBSh,66931747,6,0.01159695834682523,0.02137714074408063,0.03940534515391573,Região 2
AsBSh,66931747,7,0.009347506797745847,0.020708262830089287,0.04587663413558261,Região 2
AsBSh,66931747,8,0.02008575708619732,0.03114557705850143,0.04829526545323277,Região 2
AsBSh,66931747,9,0.029910673541782895,0.04162189335789501,0.057918522104692206,Região 2
AsBSh,66931747,10,0.03935895205906263,0.048051564852822616,0.058663982753915,Região 2
