UF,População,isoweek,corredor baixo,corredor mediano,corredor alto,Unidade da Federação
11,1768204,1,,,,Rondônia
11,1768204,2,,,,Rondônia
11,1768204,3,,,,Rondônia
11,1768204,4,,,,Rondônia
11,1768204,5,,,,Rondônia
11,1768204,6,,,,Rondônia
11,1768204,7,,,,Rondônia
11,1768204,8,,,,Rondônia
11,1768204,9,,,,Rondônia
11,1768204,10,,,,Rondônia
11,1768204,11,,,,Rondônia
11,1768204,12,,,,Rondônia
11,1768204,13,,,,Rondônia
11,1768204,14,,,,Rondônia
11,1768204,15,,,,Rondônia
11,1768204,16,,,,Rondônia
11,1768204,17,,,,Rondônia
11,1768204,18,,,,Rondônia
11,1768204,19,,,,Rondônia
11,1768204,20,,,,Rondônia
11,1768204,21,,,,Rondônia
11,1768204,22,,,,Rondônia
11,1768204,23,,,,Rondônia
11,1768204,24,,,,Rondônia
11,1768204,25,,,,Rondônia
11,1768204,26,,,,Rondônia
11,1768204,27,,,,Rondônia
11,1768204,28,,,,Rondônia
11,1768204,29,,,,Rondônia
11,1768204,30,,,,Rondônia
11,1768204,31,,,,Rondônia
11,1768204,32,,,,Rondônia
11,1768204,33,,,,Rondônia
11,1768204,34,,,,Rondônia
11,1768204,35,,,,Rondônia
11,1768204,36,,,,Rondônia
11,1768204,37,,,,Rondônia
11,1768204,38,,,,Rondônia
11,1768204,39,,,,Rondônia
11,1768204,40,,,,Rondônia
11,1768204,41,,,,Rondônia
11,1768204,42,,,,Rondônia
11,1768204,43,,,,Rondônia
11,1768204,44,,,,Rondônia
11,1768204,45,,,,Rondônia
11,1768204,46,,,,Rondônia
11,1768204,47,,,,Rondônia
11,1768204,48,,,,Rondônia
11,1768204,49,,,,Rondônia
11,1768204,50,,,,Rondônia
11,1768204,51,,,,Rondônia
11,1768204,52,,,,Rondônia
12,803513,1,0.11021005242215971,0.21693423645822685,0.42700699177102935,Acre
12,803513,2,0.2361048404036017,0.28550151112236355,0.3452327055803539,Acre
12,803513,3,0.15189993709869137,0.250434046934389,0.41288504170470813,Acre
12,803513,4,0.16702280327277513,0.2709147288809416,0.4394297598081177,Acre
12,803513,5,0.07332390383061733,0.26064109158576537,0.9264888402552935,Acre
12,803513,6,0.11290117012638422,0.27804455179694204,0.6847473121617883,Acre
12,803513,7,0.12491662877639882,0.2345118573947251,0.44026013027590233,Acre
12,803513,8,0.13593373216897686,0.2954664255815589,0.6422277035505893,Acre
12,803513,9,0.27712781935451386,0.5583965536911046,1.1251368119604985,Acre
12,803513,10,0.19119690280266916,0.3528896090496258,0.6513237105295789,Acre
12,803513,11,0.28044604619819147,0.39270697216732575,0.5499052957938378,Acre
12,803513,12,0.17564437327557447,0.3132180105175594,0.5585463415822426,Acre
12,803513,13,0.23713805882458686,0.322756401982106,0.43928712049334745,Acre
12,803513,14,0.20052813187388654,0.3543358563606423,0.6261161360730744,Acre
12,803513,15,0.23420778009329382,0.35002020692293095,0.5231002369159956,Acre
12,803513,16,0.1383023090273102,0.2700116533014788,0.5271516681923322,Acre
12,803513,17,0.11642390810544118,0.251648250975112,0.5439333144656163,Acre
12,803513,18,0.12041824343422639,0.240077197252314,0.4786406029249913,Acre
