UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",ano,Unidade da Federação,Tipo,dado,escala
RegN,16386007,0.025151760051293832,0,0.007218155675243794,0.034814736912827327,0.04341910522479564,12.0,2.0,16.0,8.0,1.0,11.0,2017,Regional Norte,Regional,obitoflu,incidência
RegS,95859350,0.006732806411313025,0,0.009273352820560262,0.012342075376492677,0.017029586426701125,25.0,17.0,33.0,10.0,7.0,14.0,2017,Regional Sul,Regional,obitoflu,incidência
11,1805788,1.0459475455718021,1,0.49999999999999994,1.3568982196480641,1.9999999999999998,,,,,,,2017,Rondônia,Estado,obitoflu,casos
12,829619,1.2553912100287903,1,0.49999999999999994,1.5624218560081022,2.0394312798490213,,,,,,,2017,Acre,Estado,obitoflu,casos
13,4063614,1.5022208091877625,1,0.49999999999999994,1.85526904901092,2.3808752360645644,,,,,,,2017,Amazonas,Estado,obitoflu,casos
14,522636,1.4753467008416752,1,0.5000000000000001,2.8988880283018266,4.1449076076699,,,,,,,2017,Roraima,Estado,obitoflu,casos
15,8366628,3.747057352703329,1,0.5,4.659292707169476,5.833467323396419,,,,,,,2017,Pará,Estado,obitoflu,casos
16,797722,1.37034043900192,1,0.49999999999999994,1.6555036970969037,2.218269493719535,,,,,,,2017,Amapá,Estado,obitoflu,casos
17,1550194,1.0700522450622239,1,0.5,1.0943916848797415,2.0,,,,,,,2017,Tocantins,Estado,obitoflu,casos
21,7000229,1.31071526624887,1,0.5,1.7048141666981862,2.0726067857034516,,,,,,,2017,Maranhão,Estado,obitoflu,casos
22,3218485,1.0099091284092083,1,0.49999999999999994,1.3486432120309249,1.9999999999999998,,,,,,,2017,Piauí,Estado,obitoflu,casos
23,9021232,2.1056317963986806,1,0.5,2.481231329538088,3.12011456337787,,,,,,,2017,Ceará,Estado,obitoflu,casos
24,3507003,1.1657057450679216,1,0.5,1.4715073010589883,2.0,,,,,,,2017,Rio Grande do Norte,Estado,obitoflu,casos
25,4025558,1.6080441560123333,1,0.49999999999999994,3.501930396219303,4.68566689109437,,,,,,,2017,Paraíba,Estado,obitoflu,casos
26,9473707,1.2394507025213681,1,0.5,2.1818226389238817,2.7270111985680523,,,,,,,2017,Pernambuco,Estado,obitoflu,casos
27,3375382,1.274918621663008,1,0.5,2.1075863246662436,2.6680470347630125,,,,,,,2017,Alagoas,Estado,obitoflu,casos
28,2288116,,1,0.5,1.0,2.0000000000000004,,,,,,,2017,Sergipe,Estado,obitoflu,casos
29,15344447,1.4407507908646362,1,0.5,3.0327306462129617,3.856955241594725,,,,,,,2017,Bahia,Estado,obitoflu,casos
31,21119536,1.611921701558537,0,1.0210553625203524,2.3796442901094257,3.0003634273897113,8.0,2.0,17.0,6.0,1.0,13.0,2017,Minas Gerais,Estado,obitoflu,casos
32,4016356,1.2448313528846615,1,0.5,1.6103675765760328,2.046029322782314,,,,,,,2017,Espírito Santo,Estado,obitoflu,casos
33,16718956,1.77871184627075,1,0.5,2.3358281219805543,3.0609078873680717,,,,,,,2017,Rio de Janeiro,Estado,obitoflu,casos
35,45094866,5.714851812690274,0,1.9256627328412301,8.009308457172402,10.206251180715258,17.0,17.0,49.0,8.0,3.0,11.0,2017,São Paulo,Estado,obitoflu,casos
41,11320892,2.7180555822696792,0,1.1827562737365787,5.530222069167228,6.958419031625245,22.0,18.0,24.0,7.0,3.0,11.0,2017,Paraná,Estado,obitoflu,casos
42,7001161,1.6644592408777636,1,0.5000000000000001,2.2854622121179755,2.9339084590262066,,,,,,,2017,Santa Catarina,Estado,obitoflu,casos
43,11322895,10.0281853253784,0,1.3186511383067774,15.351386811850489,19.788898137411966,23.0,13.0,28.0,11.0,8.0,12.0,2017,Rio Grande do Sul,Estado,obitoflu,casos
50,2713147,2.743717064338861,1,0.49999999999999994,2.6474139192371107,3.426451216395186,,,,,,,2017,Mato Grosso do Sul,Estado,obitoflu,casos
51,3344544,1.9043943405188035,1,0.5,2.307902745753952,2.82040142500202,,,,,,,2017,Mato Grosso,Estado,obitoflu,casos
52,6778772,2.3479080126509744,1,0.5,2.476485567669232,3.0473724337366637,,,,,,,2017,Goiás,Estado,obitoflu,casos
53,3039444,1.6481666230059582,1,0.5000000000000001,2.337746630378063,2.9646251804341,,,,,,,2017,Distrito Federal,Estado,obitoflu,casos
BR,207660929,25.79279254526909,0,8.389738812734583,49.815497004430014,96.31124304343385,16.0,5.0,21.0,12.0,11.0,15.0,2017,Brasil,País,obitoflu,casos
RegC,27644815,3.9469750191902477,1,0.5,4.402849528749825,5.445506246418147,,,,,,,2017,Regional Centro,Regional,obitoflu,casos
RegL,67770757,2.70101640427128,0,1.2574257230466472,3.5738736412652354,4.528358788927264,16.0,8.0,30.0,8.0,3.0,17.0,2017,Regional Leste,Regional,obitoflu,casos
RegN,16386007,4.121369162628211,0,1.1827674942163453,5.70474522756747,7.11465762147238,12.0,2.0,16.0,8.0,1.0,11.0,2017,Regional Norte,Regional,obitoflu,casos
RegS,95859350,6.454024462642992,0,8.889375736995733,11.831033232415932,16.324450856323924,25.0,17.0,33.0,10.0,7.0,14.0,2017,Regional Sul,Regional,obitoflu,casos
