UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",ano,Unidade da Federação,Tipo,dado,escala
RegN,16386007,0.30500178167998576,0,0.09920197210305746,0.5649485038556737,1.0478909423314864,12.0,8.0,17.0,10.0,9.0,13.0,2017,Regional Norte,Regional,srag,incidência
RegS,95859350,0.5308435720662237,0,0.2756442490471239,1.0707723913846638,1.5829460724429858,18.0,10.0,23.0,11.0,11.0,16.0,2017,Regional Sul,Regional,srag,incidência
11,1805788,16.172426496481112,0,3.559960079860397,17.544889741646653,23.972028918020797,12.0,3.0,18.0,8.0,5.0,10.0,2017,Rondônia,Estado,srag,casos
12,829619,8.032457310966326,0,5.095115740100566,12.501135662400808,17.187605679892542,16.0,4.0,33.0,8.0,2.0,14.0,2017,Acre,Estado,srag,casos
13,4063614,5.089311954227631,0,1.6515778823257588,6.790925606574978,8.574064229649252,12.0,4.0,37.0,11.0,6.0,14.0,2017,Amazonas,Estado,srag,casos
14,522636,5.148669079208971,0,2.146382956302823,6.071055628848526,8.800419738229175,34.0,13.0,37.0,4.0,1.0,8.0,2017,Roraima,Estado,srag,casos
15,8366628,21.406058709032013,0,6.5640986112985695,40.37940462402606,75.85619484334909,13.0,11.0,19.0,10.0,6.0,12.0,2017,Pará,Estado,srag,casos
16,797722,4.302407404669094,1,0.49999999999999994,5.003583785267798,6.818835752594735,,,,,,,2017,Amapá,Estado,srag,casos
17,1550194,3.1913690466187186,0,2.209343596340607,3.7821496583792893,4.832591124365438,22.0,16.0,46.0,7.0,1.0,19.0,2017,Tocantins,Estado,srag,casos
21,7000229,5.0290124948427035,1,0.5,5.504962078038158,7.149805877767642,,,,,,,2017,Maranhão,Estado,srag,casos
22,3218485,4.8443420987562105,0,3.9484236933552266,6.676879196632703,8.835010862078262,12.0,5.0,14.0,8.0,6.0,10.0,2017,Piauí,Estado,srag,casos
23,9021232,11.093772720312472,0,3.144324848914596,15.827116027300525,20.271228143825034,12.0,2.0,47.0,9.0,5.0,15.0,2017,Ceará,Estado,srag,casos
24,3507003,12.715043757015856,0,5.476365888893825,15.001581771478245,22.866276915445997,16.0,1.0,21.0,10.0,4.0,11.0,2017,Rio Grande do Norte,Estado,srag,casos
25,4025558,1.969127644849279,0,1.4019801885328707,2.1888173180555976,2.7961445147463757,26.0,9.0,44.0,6.0,1.0,11.0,2017,Paraíba,Estado,srag,casos
26,9473707,56.183938988403526,0,28.010627955256187,62.651773622654645,74.45943820766932,16.0,15.0,19.0,10.0,1.0,13.0,2017,Pernambuco,Estado,srag,casos
27,3375382,2.6379731772177157,1,0.5,3.672417102058007,4.729305014918774,,,,,,,2017,Alagoas,Estado,srag,casos
28,2288116,1.247043092824803,1,0.5,1.9109589592770237,2.384322647220305,,,,,,,2017,Sergipe,Estado,srag,casos
29,15344447,17.509023805832978,0,8.486319338291992,17.820061567314713,29.25406869531924,17.0,8.0,30.0,9.0,8.0,15.0,2017,Bahia,Estado,srag,casos
31,21119536,90.3473496508755,0,78.04980476411876,178.0432949706923,229.13780501901624,23.0,14.0,27.0,9.0,7.0,13.0,2017,Minas Gerais,Estado,srag,casos
32,4016356,4.560602399547904,0,2.9267458290673636,7.199469286770644,9.305973037424103,24.0,11.0,26.0,11.0,3.0,17.0,2017,Espírito Santo,Estado,srag,casos
33,16718956,22.89815852013938,0,12.551080020897688,31.2868042637193,44.35521411030358,20.0,14.0,23.0,13.0,7.0,14.0,2017,Rio de Janeiro,Estado,srag,casos
35,45094866,183.89207311031785,0,79.30441682799554,199.90582671437505,243.67857928180825,16.0,10.0,24.0,12.0,11.0,16.0,2017,São Paulo,Estado,srag,casos
41,11320892,171.66199342629932,0,59.196745875952885,246.5096983918009,356.70714255060005,18.0,9.0,25.0,14.0,8.0,16.0,2017,Paraná,Estado,srag,casos
42,7001161,31.906674044336203,0,26.716517976809854,44.298963590623714,54.07734898832765,19.0,17.0,29.0,12.0,7.0,16.0,2017,Santa Catarina,Estado,srag,casos
43,11322895,153.90431438333061,0,37.66127980055066,204.34766517130632,291.69620477423365,20.0,14.0,24.0,14.0,10.0,16.0,2017,Rio Grande do Sul,Estado,srag,casos
50,2713147,11.077986341102152,0,15.120549941715955,31.076027152170145,43.64153161725763,20.0,19.0,21.0,12.0,8.0,16.0,2017,Mato Grosso do Sul,Estado,srag,casos
51,3344544,5.323406712288969,0,2.5182455639737236,8.371885854706505,11.06310110527148,17.0,8.0,23.0,8.0,7.0,12.0,2017,Mato Grosso,Estado,srag,casos
52,6778772,23.17992583581414,0,13.149626165141738,25.35885869574444,32.86041648881002,17.0,10.0,42.0,7.0,3.0,10.0,2017,Goiás,Estado,srag,casos
53,3039444,12.02650037071959,0,7.227962613544495,17.31805066372228,26.455116030896956,14.0,9.0,33.0,11.0,10.0,14.0,2017,Distrito Federal,Estado,srag,casos
BR,207660929,813.5683414804296,0,346.1430079384338,1184.5010696902227,1646.1906304331173,18.0,9.0,23.0,11.0,10.0,16.0,2017,Brasil,País,srag,casos
RegC,27644815,66.09982333586792,0,26.182212439142972,68.77214233905063,89.73420678246457,14.0,10.0,24.0,12.0,10.0,18.0,2017,Regional Centro,Regional,srag,casos
RegL,67770757,70.98987610083795,0,56.790928583471555,99.90197653660448,113.14252240856872,18.0,12.0,22.0,13.0,9.0,14.0,2017,Regional Leste,Regional,srag,casos
RegN,16386007,49.97761329620719,0,16.255242092945043,92.57250138818597,171.70748316280333,12.0,8.0,17.0,10.0,9.0,13.0,2017,Regional Norte,Regional,srag,casos
RegS,95859350,508.86319769946357,0,264.2307854489542,1026.4354543607947,1517.4018158943752,18.0,10.0,23.0,11.0,11.0,16.0,2017,Regional Sul,Regional,srag,casos
